Name,URL,Genre,Language
Iraivan,,drama,Tamil
Chandramukhi 2,,"horror, comedy",Tamil
Chithha,,"drama, thriller",Tamil
Skanda,,"action, drama","Telugu, Tamil"
The Vaccine War,,drama,Hindi
Fukrey 3,,"thriller, crime, comedy",Hindi
Kannur Squad,,"action, drama, crime",Malayalam
Mark Antony,,drama,Tamil
Jawan,,"action, thriller","Tamil, Hindi, Telugu"
The Nun II,,"horror, thriller, mystery","Tamil, English"
Kushi,,"drama, romance, comedy",Tamil
Jailer,,"action, thriller",Tamil
Are You Ok Baby?,,drama,Tamil
Expend4bles,,"action, adventure, thriller","Tamil, English"
Peddha Kapu: Part 1,,"action, drama, political",Telugu
Demon,,"horror, thriller",Tamil
Saw X,,action,English
Miss Shetty Mr Polishetty,,"romance, comedy","Telugu, Tamil"
The Great Indian Family,,comedy,Hindi
Sukhee,,drama,Hindi
The Creator,,"sci-fi, thriller",English
A Haunting In Venice,,"horror, crime",English
Barbie,,drama,English
Vinnaithaandi Varuvaayaa,,"drama, romance",Tamil
Kadathal,,"drama, crime",Tamil
The Equalizer 3,,"action, thriller, crime",English
Tora's Husband,,drama,Assamese
RDX: Robert Dony Xavier,,drama,Malayalam
The Moon,,"sci-fi, adventure",Korean
Ulagammai,,drama,Tamil
7G Brindavana Colony,,"drama, romance, comedy",Telugu
Rani The Real Story,,drama,Malayalam
Aima,,"drama, thriller",Tamil
Goldfish,,"drama, family",English
Paramporul,,drama,Tamil
Lucky Man,,"drama, thriller, comedy",Tamil
Rocky Aur Rani Kii Prem Kahaani,,"family, romance, comedy",Hindi
Adiyae,,"drama, romance",Tamil
Kezhapaya,,drama,Tamil
